accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-178.7909,631.9881,-100.9815,-28848.7597,140393.8125,152433.7968
-5.6101,904.5040,-275.9307,-595.0003,79730.0312,64163.7695
-965.9710,-38.0510,313.8598,-4392.5019,-5092.5019,-3885.0009
-947.7383,16.6473,399.4136,-3290.0012,-4952.5019,-3832.5012
-991.7044,-229.2817,248.1852,-6457.5024,-11471.2539,2205.0007
-970.4835,-162.6924,327.6411,1015.0003,-1513.7506,-8321.2529
-980.8499,379.1075,-37.1363,9248.7539,39278.7656,33967.5117
-1232.4499,944.2014,-149.8258,-7131.2524,109900.0390,241176.3437
-1681.9885,986.3991,-291.4195,14105.0058,162085.0625,286685.1250
-1360.3842,403.0114,298.4931,56840.0234,177275.0781,286685.1250
-217.3298,167.9976,275.7478,-5048.7519,96460.0312,210980.0781
-42.0146,595.5226,-95.6153,-2887.5012,24263.7597,27501.2597
-160.6191,910.7239,197.3286,-30187.5117,-38552.5117,-72563.7734
-928.4078,-41.9537,340.5687,-14586.2548,5468.7519,-16835.0058
-928.4078,-18.5377,333.4951,-14586.2548,5468.7519,-16835.0058
-981.2159,-211.1099,292.0292,-15592.5058,-16266.2568,-14367.5048
-938.2255,96.3471,86.5294,23808.7597,5661.2519,1233.7504
-1016.9496,789.9852,-234.1600,17491.2578,76965.0234,123112.5546
-1520.2716,747.6046,-108.3600,15023.7548,133945.0468,286685.1250
-1444.8403,392.0351,90.7980,11427.5039,139265.0468,286685.1250
-753.6416,493.8703,-335.2025,9292.5039,131871.2968,286685.1250
-212.3904,757.1174,3.6588,5635.0019,154560.0468,189043.8125
88.4198,702.1142,203.4265,9651.2539,65257.5234,74462.5312
-983.5940,12.0739,210.2562,-11418.7548,-4873.7514,-5486.2519
-992.0092,11.9519,222.5740,-11261.2539,-5792.5019,-4663.7514
-1037.9263,-42.9903,235.0747,12048.7548,-23152.5078,5967.5019
-992.5580,449.1116,-223.6716,1785.0007,2975.0012,47722.5156
-1209.3388,840.5978,-227.8182,13291.2548,106216.2812,216623.8281
-1522.5889,840.4149,-35.6118,19101.2558,161157.5625,286685.1250
-1306.4787,708.5170,50.6127,13860.0048,150841.3125,286685.1250
-557.4716,512.5300,-41.2829,10972.5039,160466.3125,286685.1250
23.9038,530.5187,26.0991,19818.7578,131302.5468,154175.0468
225.8668,639.0007,142.0205,-2625.0007,30450.0117,4830.0014
-937.1279,28.9041,375.2658,-28061.2597,3797.5012,-6020.0019
-937.1279,28.9041,295.7490,-28061.2597,3797.5012,-6020.0019
-980.3621,-76.1020,234.4649,4278.7519,-778.7503,-11436.2548
-951.5800,462.2831,8.5981,-11567.5039,14175.0048,30791.2617
-1117.6872,718.0297,-142.8742,-5923.7519,71391.2734,174387.5625
-1452.1579,951.7019,-171.5954,-402.5001,129631.3046,286685.1250
-1467.5246,840.5978,-53.2958,18830.0078,164841.3125,286685.1250
-774.1306,323.6164,161.8387,40101.2656,145652.5468,286685.1250
52.2591,362.2163,116.9581,-9240.0029,80456.2812,160011.3125
160.9240,674.5516,17.4400,-30082.5136,11515.0039,14035.0048
-994.2655,221.0495,84.7610,-32978.7617,-10893.7539,12748.7539
-994.2655,221.0495,84.7610,-32978.7617,-10893.7539,12748.7539
-1031.7065,608.8161,-200.5605,13037.5048,26923.7597,122316.2890
-1289.4045,643.3912,-110.3113,8767.5029,113330.0390,237116.3593
-1310.1983,739.8604,58.6010,42411.2656,158086.2968,286685.1250
-992.0701,724.4326,-94.3348,39812.5156,151383.7968,286685.1250
-418.9269,536.9826,-89.0906,5381.2519,112647.5390,253531.3281
23.0501,467.4663,9.4518,11007.5039,58878.7734,97020.0390
34.5752,733.9453,-8.1712,-52587.5156,-4340.0014,-10307.5039
-991.8872,-67.1381,368.3142,-35297.5156,-4287.5019,-22671.2597
-1015.8521,-54.2715,357.9477,-40923.7617,-7253.7524,-25077.5078
-948.2260,28.7212,318.4332,-18821.2558,-23546.2597,-22750.0097
-925.1149,144.0938,13.4154,-4445.0014,-18471.2558,11515.0039
-962.4342,692.2355,-90.5541,-9292.5039,48142.5156,102383.7812
-1315.3817,1047.7441,19.3914,37380.0117,101972.5390,286151.3437
-1619.3627,943.7136,200.0117,25025.0097,95900.0390,286685.1250
-846.0859,116.1653,45.7344,55160.0195,93572.5312,286685.1250
-111.4089,252.9416,102.0791,-15916.2558,75066.2812,141566.2968
-63.0525,854.5621,149.2160,-40495.0156,21236.2578,-15916.2558
-966.2760,16.0985,375.4487,-15120.0058,-1321.2504,-11453.7539
-990.3627,15.3667,327.8240,-16178.7568,-4305.0014,-10990.0039
-963.1051,182.6936,267.0278,-4401.2514,-12460.0048,-17.5000
-982.1915,622.4144,-137.0202,48938.7656,40293.7656,89888.7812
-1354.5302,957.4339,-83.7244,33853.7617,117451.2812,264985.0937
-1618.1431,991.3383,131.8979,37738.7656,152503.8125,286685.1250
-995.4849,288.3095,19.6963,75477.5312,144462.5468,286685.1250
-78.7241,95.9812,40.7341,-15216.2568,122771.2890,180670.0781
111.7748,739.9822,56.2228,-67051.2656,51826.2695,7560.0029
-982.9234,2.1953,392.9498,-17360.0058,-10482.5039,-2555.0009
-982.9234,2.1953,392.9498,-17360.0058,-10482.5039,-2555.0009
-951.5800,102.0182,188.2427,7376.2529,-19250.0078,13938.7558
-978.0449,481.8574,-209.6464,5871.2519,17088.7558,97702.5390
-1222.0225,739.4944,-157.0214,21323.7578,128380.0390,211907.5781
-1479.4766,892.7351,57.0765,33407.5117,165550.0625,286685.1250
-1221.4737,690.2233,-52.0152,28927.5117,159075.0625,286685.1250
-488.3822,547.6539,80.3705,13098.7548,118212.5468,286151.3437
63.5403,383.4370,70.8578,5250.0014,75941.2734,131267.5468
-998.9607,-21.4647,346.1178,-10648.7539,4016.2512,-26.2500
-1003.2293,-40.3072,351.3619,-10377.5039,726.2503,-43.7500
-934.6887,150.6186,253.3075,18891.2558,-7070.0024,1942.5004
-943.2869,525.7014,-81.7121,2126.2507,20046.2578,63008.7695
-1154.7016,709.7976,-98.4204,54915.0195,109672.5390,184467.5625
-1389.1053,816.9379,-95.2495,65502.5234,173748.8281,286685.1250
-1100.9179,625.9512,-16.7083,13203.7548,189638.8281,286685.1250
-463.1368,391.3034,102.9938,-10631.2529,147183.7968,286536.3437
29.2700,617.1092,57.0155,-35341.2617,86476.2890,141557.5468
74.9434,820.2308,-4.4515,-34615.0117,20912.5058,9975.0029
-935.9083,28.2334,347.2154,-15268.7548,3123.7509,5162.5019
-940.7867,88.3588,371.1802,-24928.7597,105.0000,6422.5024
-957.7390,233.4282,1.0976,28840.0097,14218.7548,36531.2617
-1071.4650,573.6920,-121.7144,12503.7548,78942.5312,152075.0468
-1297.6977,773.9477,-114.0920,-19363.7558,120330.0546,283045.1250
-1236.9013,704.1265,-112.3236,-24088.7597,130383.7968,286685.1250
-640.0374,812.3035,-33.1727,-40810.0156,115937.5468,286685.1250
-67.7479,404.7188,36.5265,332.5001,100598.7890,221243.8281
239.9530,527.5308,99.2741,-26608.7597,50032.5195,71163.7734
-969.5689,46.7710,324.4092,-10998.7539,-12083.7539,-2126.2507
-960.1170,39.5755,314.7135,-10998.7539,-13177.5039,647.5003
-997.3144,309.2254,-37.3193,-2476.2509,-13098.7548,44791.2617
-1101.2838,524.8477,-56.3448,25725.0078,48868.7695,126796.2968
-1318.8575,770.1060,32.8678,54372.5195,121677.5546,243355.1093
-1322.1503,695.3455,198.1213,53182.5195,140306.2968,286685.1250
-918.0414,400.1453,86.0416,24018.7578,126927.5390,286685.1250
-355.4476,623.0852,130.5564,-20991.2578,89188.7812,197207.5781
-89.0906,945.8480,-127.5684,-19005.0058,50513.7695,140148.7968
46.1003,793.2781,-16.5254,-2992.5009,31526.2636,75888.7812
-911.0288,32.8068,318.5552,-12722.5048,-6737.5024,-15951.2548
-914.9924,84.3342,390.2057,-17368.7558,-9082.5039,-14183.7548
-956.8852,231.5989,141.1058,13833.7548,-24508.7597,8837.5029
