accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-473.7472,830.6583,580.0339,-135616.2968,-286685.1250,199360.0781
79.6388,673.2711,402.9504,-34212.5117,-117005.0390,44738.7656
105.9208,91.2858,11.6470,-99452.5390,60348.7734,-65170.0195
126.8977,28.4773,-80.7974,-106181.2890,48553.7656,-55501.2695
345.3251,342.0322,244.1606,34790.0117,-64496.2695,27667.5097
-259.2225,507.1638,571.3748,24648.7578,-262298.8437,160746.3125
-1100.3081,722.5422,1466.9759,-10351.2539,-286685.1250,254283.8593
-1216.3514,930.3593,1896.8179,20833.7558,-286685.1250,280105.0937
-444.5382,817.4867,817.7307,-49621.2695,-286685.1250,220605.0625
-126.7757,380.2661,670.2221,165585.0625,-16047.5048,83816.2812
-64.5160,693.0893,1582.3485,13693.7548,128896.2890,-30598.7636
-40.3682,177.9982,524.9697,-65852.5234,32366.2636,-138985.0625
80.6754,173.7297,504.8466,-91428.7812,18987.5058,-125352.5390
482.3452,434.9035,97.8716,-41772.5117,-71653.7812,-32191.2636
183.3034,650.8306,572.4114,67165.0234,-221173.8281,125116.2968
-867.0629,1018.4742,1392.5812,143640.0468,-286685.1250,286676.3437
-1377.7022,553.6909,1950.1138,143867.5468,-286685.1250,286685.1250
-968.5932,470.6983,1364.5919,10255.0039,-286685.1250,276272.5937
-325.9947,-13.2325,1014.6324,25795.0097,-104090.0390,81742.5312
88.4808,63.2964,46.0393,-60287.5195,-27833.7597,17167.5058
174.8883,161.1070,95.5544,-63140.0195,-41711.2656,25777.5097
117.9947,456.7340,515.8228,9730.0039,-170730.0468,103643.7890
-962.2514,636.7445,1343.0662,44073.7656,-286685.1250,220613.8281
-1486.6112,1009.5101,1743.8824,63131.2695,-286685.1250,280962.6250
-1022.1329,930.8470,1835.8389,-37721.2617,-286685.1250,263803.8750
-371.1802,216.2931,773.0939,-47040.0156,-286685.1250,94596.2812
110.6162,432.5253,874.6243,6895.0024,15085.0058,-9546.2529
153.3016,121.0437,-73.4189,-74200.0234,106093.7812,-5145.0019
201.1703,126.1049,-79.6388,-61022.5234,92968.7812,1933.7508
266.5400,285.9313,406.3652,5608.7519,-22767.5078,57435.0195
-108.4210,418.1952,540.4584,-51432.5195,-226791.3281,142546.3125
-843.6467,926.0297,1309.7105,-97501.2812,-286685.1250,187722.5781
-1486.5501,1704.7337,1997.9213,-16432.5078,-286685.1250,237781.3437
-868.2214,1207.1436,1121.4071,12180.0039,-286685.1250,236442.6093
-300.5663,644.7328,574.5458,-66535.0234,-209116.3281,93170.0390
58.3571,910.6629,636.8664,-51546.2695,75040.0312,-1408.7504
111.8968,123.7877,26.2210,-206858.8125,33136.2617,-62378.7734
194.2187,140.0082,-159.2776,-208346.3437,21131.2578,-51266.2695
421.7929,500.6390,464.9662,14105.0058,-115001.2890,54118.7695
-529.1773,632.1101,1114.3944,69370.0234,-286685.1250,187451.3125
-1422.0953,702.1751,1460.3292,43785.0156,-286685.1250,286685.1250
-1094.3322,746.7509,1538.5654,-23738.7578,-286685.1250,263506.3750
-455.5754,753.3977,967.4345,-132536.2968,-286685.1250,146562.5468
112.1407,457.3438,861.9406,58213.7734,-73893.7734,11550.0048
-148.4233,-73.9677,185.2547,-104606.2890,66631.2734,-118037.5390
-148.4233,-21.5256,151.0454,-104606.2890,66631.2734,-118037.5390
299.1638,293.1268,305.5666,-67882.5234,-41501.2617,-25523.7597
138.4227,343.4957,555.0935,33232.5117,-221952.5781,103092.5390
-676.8078,708.2731,1164.7021,86450.0312,-286685.1250,228821.3281
-1553.3223,773.3378,1965.4196,118763.7812,-286685.1250,286685.1250
-986.5211,480.5158,1217.8759,-40591.2617,-286685.1250,284978.8437
-201.0483,193.7918,1030.7309,82022.5312,-140840.0468,88655.0312
-16.8303,709.0048,1452.0358,-18926.2558,1137.5004,-8872.5039
-26.8308,198.3652,-123.3609,-144156.3125,97273.7890,-69711.2734
-26.8308,198.3652,-123.3609,-144156.3125,97273.7890,-69711.2734
158.1190,352.0937,316.6039,26293.7578,-27553.7597,29137.5117
-309.9571,272.4549,645.9524,22942.5078,-218050.0937,142117.5468
-1096.1004,546.3734,1135.6151,-11383.7539,-286685.1250,213902.5937
-1470.4516,891.3326,1478.3179,2511.2509,-286685.1250,260032.6093
-1056.9519,594.0591,1002.3146,-82617.5312,-286685.1250,208976.3125
-121.0437,616.8043,469.7835,-27265.0097,-174833.8125,63551.2734
-84.2732,127.0196,-112.8115,-27501.2597,169566.3125,-42306.2656
-19.5133,205.3169,-90.4321,-21761.2578,159477.5625,-34553.7617
170.3758,366.4238,665.0999,40241.2617,28726.2597,50050.0195
-144.5206,366.4848,376.6683,-35638.7656,-168367.5625,139991.2968
-675.4053,663.1484,835.5366,-106531.2890,-286685.1250,176776.3125
-1318.0648,1455.6337,1319.1624,-64627.5195,-286685.1250,210061.3281
-1258.1221,1217.4490,1060.9156,-27422.5117,-286685.1250,235690.0781
-386.4250,893.4667,521.6158,-64268.7695,-268397.5937,136141.2968
-167.9976,579.2412,916.5170,14743.7539,-2800.0009,21857.5078
-15.4277,79.8217,-23.3550,-60165.0273,27903.7597,-13431.2548
-15.4277,79.8217,-23.3550,-58607.5273,14848.7548,-5923.7519
-87.5661,397.5232,298.6150,34842.5117,-115368.7968,72633.7812
-879.5635,479.8451,980.3621,40171.2617,-286685.1250,203131.3281
-1234.8281,575.0946,1284.3432,19285.0078,-286685.1250,249112.6093
-920.7246,608.4502,1398.6791,-17622.5058,-286685.1250,229355.0781
-337.0319,465.1491,826.3897,-91831.2890,-282065.0937,144453.7968
-60.7962,368.3752,865.0505,16213.7548,-55177.5195,26643.7597
-714.2490,-230.6842,419.3537,-32550.0136,44458.7656,-147700.0468
-714.2490,-230.6842,407.2799,-32550.0136,44458.7656,-147700.0468
-166.8390,-216.3541,-34.2093,-95243.7890,-4278.7519,-118702.5468
65.1867,340.4468,33.3556,-17902.5078,-99863.7812,-28691.2617
-230.3793,438.8671,807.4862,71846.2734,-254668.8281,92881.2812
-1077.1971,503.4440,1476.6105,124048.7968,-286685.1250,232382.5781
-1599.9104,317.2136,1994.9335,129360.0468,-286685.1250,286685.1250
-978.5327,-45.6124,1022.1938,-51502.5156,-286685.1250,223186.3281
-270.6256,152.6309,748.7022,49463.7656,-83536.2734,17202.5078
-68.6016,-144.8255,-30.0627,-56778.7734,41072.5156,-31535.0117
-68.6016,-144.8255,-30.0627,-56778.7734,41072.5156,-31535.0117
-45.9783,362.5822,223.8545,-5740.0019,-87027.5312,50951.2695
-794.1927,509.2371,772.2402,-39698.7656,-265090.0937,177406.3125
-1408.6798,551.4957,871.0264,-3097.5012,-286685.1250,223440.0781
-1243.3043,695.2846,997.9241,-14446.2548,-286685.1250,212415.0625
-724.1277,561.1303,1010.3638,-38718.7617,-286685.1250,185062.5625
-226.0498,652.2332,824.2554,4523.7514,-159092.5625,109812.5468
-28.4773,494.7240,1151.1038,-5687.5024,-53978.7734,58117.5195
-12.4398,507.8345,1062.0131,2983.7509,16878.7558,10648.7539
-822.0602,500.1511,850.5375,-38491.2617,-253041.3437,156458.8125
-822.0602,500.1511,850.5375,-38491.2617,-253041.3437,156458.8125
-1513.5640,360.0820,1234.2183,27186.2597,-286685.1250,224446.3281
-1212.2049,439.6599,966.5200,1330.0004,-286685.1250,219178.8281
-445.6358,408.8654,866.8189,-53427.5195,-286685.1250,141995.0468
-63.0525,492.1629,888.5885,-46935.0195,-153011.3125,46130.0156
-51.6494,355.9964,175.4980,-67987.5234,-31543.7617,38928.7656
-97.5667,356.1793,175.4980,-78312.5234,-52710.0156,52622.5195
-265.2594,521.1280,513.0788,-21131.2578,-182595.0625,125055.0468
-1056.8300,834.6829,770.2279,-11830.0039,-286685.1250,211618.8125
-992.0701,884.9296,859.8673,-13571.2548,-286685.1250,242602.5937
