accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1018.9010,-53.7836,45.5514,-148.7501,2310.0007,1181.2503
-1020.0596,-49.9419,41.7707,-113.7500,-96.2500,-1198.7503
-1018.9619,-53.5397,44.9416,-105.0000,-1146.2504,-2135.0007
-1017.0106,-58.8449,49.9419,-96.2500,-988.7504,-1968.7507
-1018.3521,-55.6130,47.1979,-122.5000,1093.7503,148.7501
-1020.1816,-51.6494,42.5025,-78.7500,796.2503,-227.5001
-1019.8767,-51.2835,43.7830,-78.7500,-1426.2504,-2380.0009
-1017.0106,-58.1741,50.9176,-105.0000,-393.7502,-1356.2504
-1017.1326,-54.8203,47.4418,-96.2500,1216.2504,201.2501
-1020.3036,-51.7103,41.9537,-105.0000,533.7502,-568.7503
-1017.2545,-52.8080,45.6734,-96.2500,-1303.7504,-2135.0007
-1020.3645,-52.6250,43.7221,-113.7500,201.2501,-761.2503
-1018.7180,-55.2471,45.1856,-122.5000,-463.7502,-1233.7504
-1018.2302,-53.1738,44.6977,-78.7500,1347.5004,157.5001
-1018.7180,-51.8323,42.3195,-96.2500,822.5003,-175.0001
-1018.5961,-49.0272,42.8684,-61.2500,-332.5001,-1400.0004
-1017.7424,-52.9909,45.5514,-70.0000,-1461.2506,-2353.7509
-1016.1569,-56.5887,50.1859,-131.2500,-595.0003,-1680.0006
-1018.9619,-52.7470,44.6368,-70.0000,411.2502,-437.5002
-1016.4008,-53.9056,46.7710,-78.7500,245.0001,-813.7503
-1019.6327,-52.1372,42.6854,-87.5000,848.7503,-218.7501
-1019.5717,-51.2835,41.7098,-113.7500,-533.7502,-1575.0006
-1017.2545,-55.8569,46.5271,-87.5000,-971.2503,-1680.0006
-1018.4132,-56.1008,47.0759,-105.0000,175.0001,-1111.2503
-1018.5350,-54.2105,45.9783,-96.2500,210.0001,-586.2503
-1020.9133,-52.1982,43.2952,-131.2500,717.5003,-507.5002
-1018.5350,-52.6250,44.6977,-52.5000,-1050.0003,-1750.0006
-1017.8033,-56.9545,47.1979,-96.2500,-245.0001,-1356.2504
-1020.5474,-53.7226,43.6611,-78.7500,113.7500,-901.2503
-1017.2545,-55.2471,46.5881,-105.0000,-280.0001,-1251.2504
-1018.8400,-53.6007,46.1612,-87.5000,236.2501,-796.2503
-1018.9619,-53.9056,43.2342,-148.7501,-8.7500,-1032.5004
-1018.7789,-54.0275,45.8563,-61.2500,-857.5003,-1846.2506
-1017.1936,-55.3691,47.3198,-105.0000,-113.7500,-1067.5003
-1018.6571,-54.2715,46.6491,-122.5000,402.5001,-560.0003
-1017.8033,-53.4177,45.6734,-122.5000,-148.7501,-1058.7504
-1018.9619,-52.1372,45.1246,-140.0001,-376.2501,-1356.2504
-1017.9863,-56.8936,46.7100,-78.7500,-350.0001,-1321.2504
-1016.4008,-54.7593,47.0149,-52.5000,525.0002,-481.2502
-1019.3888,-52.8689,45.1856,-70.0000,210.0001,-770.0003
-1018.2911,-53.9056,44.1489,-87.5000,-218.7501,-1242.5004
-1018.1082,-54.3934,45.8563,-61.2500,-542.5002,-1478.7504
-1016.7058,-54.5764,46.6491,-61.2500,122.5000,-848.7503
-1017.9863,-52.4421,45.1856,-113.7500,577.5002,-472.5002
-1019.7547,-52.8080,42.0756,-113.7500,-323.7501,-1513.7506
-1019.2058,-54.6983,45.7344,-105.0000,-262.5001,-1172.5004
-1018.5350,-54.8203,44.2099,-87.5000,-236.2501,-1172.5004
-1017.1936,-55.3691,47.0149,-96.2500,481.2502,-752.5003
